StichtagDatJahr,QuarSort,QuarCd,QuarLang,KreisSort,WegOrtSort,WegOrtLang,WegBezirkSort,WegBezirkLang,WegKtSort,WegKtLang,WegLandSort,WegLandLang,WegRegionSort,WegRegionLang,WegKontinentSort,WegKontinentLang,AnzWezuWir
2014,44,044,"Hard",4,1085,"Geuensee",314,"Wahlkreis Sursee",3,"Luzern",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,2519,"Gerlafingen",1106,"Bezirk Wasseramt",11,"Solothurn",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,31,031,"Alt-Wiedikon",3,3982,"Disentis/Mustér",1831,"Bezirk Surselva",18,"Graubünden / Grigioni / Grischun",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,123,123,"Hirzenbach",12,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,119,119,"Seebach",11,1086,"Grosswangen",314,"Wahlkreis Sursee",3,"Luzern",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,91,091,"Albisrieden",9,4566,"Frauenfeld",2012,"Bezirk Frauenfeld",20,"Thurgau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,61,061,"Unterstrass",6,4028,"Freienwil",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,111,111,"Affoltern",11,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,102,102,"Wipkingen",10,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,119,119,"Seebach",11,5187,"Gravesano",2105,"Distretto di Lugano",21,"Ticino",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,56,"Embrach",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,115,115,"Oerlikon",11,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",8
2014,91,091,"Albisrieden",9,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,11,011,"Rathaus",1,576,"Grindelwald",250,"Verwaltungskreis Interlaken-Oberhasli",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,6263,"Grimisuat",2312,"District de Sion",23,"Valais / Wallis",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,61,061,"Unterstrass",6,6058,"Fieschertal",2304,"Bezirk Goms",23,"Valais / Wallis",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,61,061,"Unterstrass",6,1056,"Greppen",312,"Wahlkreis Luzern-Land",3,"Luzern",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,111,111,"Affoltern",11,2546,"Grenchen",1107,"Bezirk Lebern",11,"Solothurn",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,11,011,"Rathaus",1,563,"Frutigen",249,"Verwaltungskreis Frutigen-Niedersimmental",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,119,119,"Seebach",11,4194,"Dintikon",1907,"Bezirk Lenzburg",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,101,101,"Höngg",10,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",7
2014,115,115,"Oerlikon",11,5817,"Grandcour",2222,"District de la Broye-Vully",22,"Vaud",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,33,033,"Friesenberg",3,56,"Embrach",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,31,031,"Alt-Wiedikon",3,56,"Embrach",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,119,119,"Seebach",11,193,"Fällanden",109,"Bezirk Uster",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",14
2014,82,082,"Mühlebach",8,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,73,073,"Hirslanden",7,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,63,063,"Oberstrass",6,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,44,044,"Hard",4,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,52,052,"Escher Wyss",5,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,101,101,"Höngg",10,57,"Freienstein-Teufen",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,12,012,"Hochschulen",1,3273,"Grabs",1724,"Wahlkreis Werdenberg",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,11,011,"Rathaus",1,56,"Embrach",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,91,091,"Albisrieden",9,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",11
2014,83,083,"Weinegg",8,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,122,122,"Schwamendingen-Mitte",12,2196,"Fribourg",1004,"District de la Sarine",10,"Fribourg / Freiburg",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,122,122,"Schwamendingen-Mitte",12,219,"Elsau",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,71,071,"Fluntern",7,4566,"Frauenfeld",2012,"Bezirk Frauenfeld",20,"Thurgau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,61,061,"Unterstrass",6,1054,"Ebikon",312,"Wahlkreis Luzern-Land",3,"Luzern",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,31,031,"Alt-Wiedikon",3,244,"Geroldswil",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,115,115,"Oerlikon",11,115,"Gossau (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,111,111,"Affoltern",11,194,"Greifensee",109,"Bezirk Uster",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,44,044,"Hard",4,1322,"Freienbach",503,"Bezirk Höfe",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",7
2014,111,111,"Affoltern",11,2519,"Gerlafingen",1106,"Bezirk Wasseramt",11,"Solothurn",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,44,044,"Hard",4,219,"Elsau",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,119,119,"Seebach",11,113,"Dürnten",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,122,122,"Schwamendingen-Mitte",12,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,61,061,"Unterstrass",6,57,"Freienstein-Teufen",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,81,081,"Seefeld",8,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,74,074,"Witikon",7,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,119,119,"Seebach",11,217,"Elgg",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,119,119,"Seebach",11,4566,"Frauenfeld",2012,"Bezirk Frauenfeld",20,"Thurgau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",8
2014,102,102,"Wipkingen",10,217,"Elgg",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,74,074,"Witikon",7,194,"Greifensee",109,"Bezirk Uster",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,115,115,"Oerlikon",11,2196,"Fribourg",1004,"District de la Sarine",10,"Fribourg / Freiburg",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,102,102,"Wipkingen",10,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,91,091,"Albisrieden",9,113,"Dürnten",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,63,063,"Oberstrass",6,194,"Greifensee",109,"Bezirk Uster",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,61,061,"Unterstrass",6,194,"Greifensee",109,"Bezirk Uster",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,42,042,"Langstrasse",4,115,"Gossau (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",7
2014,92,092,"Altstetten",9,6621,"Genève",2500,"Canton de Genève",25,"Genève",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,123,123,"Hirzenbach",12,1301,"Einsiedeln",501,"Bezirk Einsiedeln",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,92,092,"Altstetten",9,4566,"Frauenfeld",2012,"Bezirk Frauenfeld",20,"Thurgau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,21,021,"Wollishofen",2,115,"Gossau (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
